rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
8,45,67,0.01,958.3127298235373,-36.112484678430846,193,52.84974093264248
10,48,70,0.007,957.8671564093215,-36.1421895727119,184,41.84782608695652
10,51,68,0.007,957.7533888185129,-36.14977407876581,210,44.285714285714285
10,49,66,0.01,957.3955944491748,-36.173627036721676,175,54.285714285714285
8,47,69,0.01,955.6120717303381,-36.29252855131079,188,52.659574468085104
10,53,66,0.01,955.6118543065355,-36.29254304623096,206,54.36893203883495
10,49,68,0.01,954.613307331179,-36.35911284458806,163,50.306748466257666
10,49,67,0.01,954.3359632150217,-36.37760245233188,170,52.352941176470594
10,57,69,0.007,954.0649579183563,-36.39566947210958,240,45.0
10,57,70,0.007,953.8974173496841,-36.40683884335439,230,43.913043478260875
10,52,68,0.01,953.7637007377219,-36.415753284151876,183,50.27322404371585
10,58,69,0.01,952.5204752677483,-36.498634982150115,212,49.056603773584904
10,53,68,0.007,951.7773242283918,-36.54817838477388,224,45.535714285714285
10,50,68,0.01,951.0598827476448,-36.596007816823686,172,50.0
10,51,70,0.005,950.3347149852717,-36.64435233431522,236,36.86440677966102
10,50,66,0.01,949.0606422235066,-36.72929051843289,184,53.80434782608695
10,52,70,0.007,948.613433283027,-36.759104447798194,207,42.99516908212561
10,48,69,0.007,948.0206389985992,-36.798624066760055,189,42.857142857142854
8,49,69,0.01,947.1915351479623,-36.853897656802516,202,53.46534653465347
8,49,70,0.01,947.1873926358569,-36.8541738242762,196,52.55102040816326
10,50,67,0.01,946.8488860280708,-36.876740931461946,179,51.955307262569825
8,47,70,0.01,946.5186435125999,-36.89875709916001,182,52.74725274725275
10,52,69,0.007,945.2607858136892,-36.982614279087386,214,43.925233644859816
8,48,67,0.01,945.1628473908071,-36.98914350727953,216,52.77777777777778
10,45,70,0.007,944.1311738651219,-37.057921742325206,178,41.01123595505618
10,50,68,0.007,944.034072085512,-37.0643951942992,205,43.41463414634146
10,56,69,0.007,943.8801393467022,-37.07465737688652,237,44.303797468354425
10,47,66,0.01,943.6310415924055,-37.09126389383963,166,52.40963855421686
10,51,66,0.01,943.0699126386207,-37.12867249075862,192,54.166666666666664
